gender,study_hours,attendance,parent_education,previous_score,final_score
Male,2,65,High,55,58
Female,4,80,Graduate,70,75
Male,3,70,Graduate,60,65
Female,5,90,PostGraduate,85,88
Male,1,60,High,50,52
Female,6,95,PostGraduate,90,92
Male,4,85,Graduate,78,80
Female,5,88,Graduate,82,85
Male,2,68,High,58,60
Female,3,75,Graduate,65,68
Male,6,92,PostGraduate,88,90
Female,4,82,Graduate,72,76
Male,5,86,Graduate,80,83
Female,2,66,High,57,59
Male,3,72,Graduate,63,67
Female,6,94,PostGraduate,91,93
Male,1,58,High,48,50
Female,5,89,Graduate,84,87
Male,4,81,Graduate,74,78
Female,3,77,Graduate,69,72
